"","Planning Area","Subzone","Planning Region","Total","young","old","Economically Active","% Young","% Old","% Economically Active","Year"
"226","River Valley","Institution Hill","Central Region",3460,950,380,2140,27.3774427163034,10.9509770865214,61.6712920135677,2017
"227","River Valley","Leonie Hill","Central Region",2740,710,280,1780,25.6316764199407,10.1082667571597,64.2596958133725,2017
"228","River Valley","One Tree Hill","Central Region",1880,480,320,1100,25.2630249314477,16.8420166209652,57.8944321345677,2017
"229","River Valley","Oxley","Central Region",1440,310,270,850,21.6781700827267,18.8809868462458,59.4401437752184,2017
"230","River Valley","Paterson","Central Region",210,60,20,150,26.0858223555498,8.69527411851659,65.2145558888744,2017
"231","Rochor","Bencoolen","Central Region",1380,250,300,840,17.9854821188337,21.5825785426004,60.4312199192812,2017
"232","Rochor","Farrer Park","Central Region",2950,630,530,1780,21.428498542522,18.0271495675185,60.5440117550621,2017
"233","Rochor","Kampong Glam","Central Region",180,40,60,90,21.0515236040208,31.5772854060313,47.3659281090469,2017
"234","Rochor","Little India","Central Region",3620,700,820,2110,19.2836934333514,22.5894694504974,58.1265616348164,2017
"235","Rochor","Mackenzie","Central Region",130,40,0,100,28.5693879008642,0,71.4234697521606,2017
"236","Rochor","Mount Emily","Central Region",1190,260,110,830,21.6664861126157,9.16659027841435,69.166090282581,2017
"237","Rochor","Rochor Canal","Central Region",10,0,0,0,0,0,0,2017
"238","Rochor","Selegie","Central Region",230,50,50,150,19.9992000319987,19.9992000319987,59.9976000959962,2017
"239","Rochor","Sungei Road","Central Region",2240,510,520,1220,22.6665659263737,23.1110083955182,54.2219812356389,2017
"240","Rochor","Victoria","Central Region",1980,290,520,1170,14.6463906747946,26.2624936237696,59.0906106534815,2017
"241","Seletar","Pulau Punggol Barat",NA,0,0,0,0,0,0,0,2017
"242","Seletar","Pulau Punggol Timor",NA,0,0,0,0,0,0,0,2017
"243","Seletar","Seletar",NA,190,60,0,130,31.5772854060313,0,68.4174517130677,2017
"244","Seletar","Seletar Aerospace Park",NA,20,0,0,0,0,0,0,2017
"245","Sembawang","Admiralty","North Region",14480,4580,1230,8670,31.6298124103505,8.49446927177537,59.8756492571483,2017
"246","Sembawang","Sembawang Central","North Region",29810,9280,2290,18230,31.1409291473392,7.68456117967746,61.1744761159476,2017
"247","Sembawang","Sembawang East","North Region",1580,480,100,1020,29.9998125011719,6.24996093774414,63.7496015649902,2017
"248","Sembawang","Sembawang North","North Region",26970,8600,2010,16380,31.8636413991695,7.44719990841056,60.6891216416741,2017
"249","Sembawang","Sembawang Springs","North Region",5100,1570,650,2870,30.8447331144733,12.7701124359284,56.3849579863301,2017
"250","Sembawang","Sembawang Straits","North Region",1760,560,190,1010,31.818001034085,10.7953932079931,57.3860375793319,2017
"251","Sembawang","Senoko North","North Region",20,0,0,0,0,0,0,2017
"252","Sembawang","Senoko South","North Region",20,0,0,0,0,0,0,2017
"253","Sembawang","The Wharves","North Region",0,0,0,0,0,0,0,2017
"254","Sengkang","Anchorvale","North East Region",39370,12720,2910,23760,32.2924518170978,7.38765996759077,60.3198628281638,2017
"255","Sengkang","Compassvale","North East Region",20810,6530,1470,12810,31.3791295631285,7.06390818649294,61.5569141965814,2017
"256","Sengkang","Fernvale","North East Region",49770,16430,3740,29600,33.011847897961,7.51456549837945,59.4735665112384,2017
"257","Sengkang","Lorong Halus North","North East Region",0,0,0,0,0,0,0,2017
